Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Quarter,DayOfWeek,Week,Daily_Return,Cumulative_Return,Price_Change,Up_Down,SMA_20,SMA_50,EMA_20,BB_Mid,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist,Volume_MA
2025-05-14,3013.291037690517,3085.213210606587,2993.9464532510224,3077.07861328125,2236302,0.0,0.0,2025,May,Q2,Wednesday,20,1.5718119092992477,110.10613637239221,63.78757559073301,Up,,,2950.358564958746,,,,62.537466155949765,65.58787145179213,51.96559364206028,13.622277809731848,
2025-05-15,3060.4123230178493,3145.4292392734196,3048.507963900762,3119.23974609375,3590003,0.0,0.0,2025,May,Q2,Thursday,20,1.3701675553729586,111.61477492944142,58.8274230759007,Up,,,2966.442486971603,,,,65.98236964669664,70.78443361860673,55.729361637369564,15.055071981237163,
2025-05-16,3110.0140601201333,3124.398495166941,3090.173460055571,3110.609375,2269659,0.0,0.0,2025,May,Q2,Friday,20,-0.27668187751703766,111.30595707458025,0.5953148798666916,Up,,,2980.1726667838316,,,,68.55349509545293,73.36069137010145,59.255627583915945,14.105063786185504,
2025-05-19,3090.173434284337,3131.8386940724404,3078.864389219781,3103.06982421875,2011149,0.0,0.0,2025,May,Q2,Monday,21,-0.24238179315748676,111.03617169993176,12.896389934413037,Up,,,2991.8771579681093,,,,64.67440660663517,73.94166200914833,62.19283446896243,11.7488275401859,
2025-05-20,3103.2680293156227,3110.311538811685,3024.798605886781,3039.083740234375,2667772,0.0,0.0,2025,May,Q2,Tuesday,21,-2.0620252720379706,108.74657777837568,-64.1842890812477,Down,2983.202770996094,,2996.373022945849,2983.202770996094,3185.2496084741515,2781.1559335180364,60.74570944880104,68.44989541695122,63.44424665856019,5.0056487583910325,2864643.2
2025-05-21,3038.587713565781,3107.037779591259,3023.8065643019713,3066.06689453125,1395136,0.0,0.0,2025,May,Q2,Wednesday,21,0.8878713652949344,109.71210750320807,27.479180965468913,Up,2996.77373046875,,3003.010534525411,2996.77373046875,3181.186838123934,2812.3606228135654,61.17938790159441,65.51967583230908,63.85933249330997,1.6603433389991054,2774712.15
2025-05-22,3052.0796013365434,3065.174348925289,2956.7454212568737,2982.33984375,3870830,0.0,0.0,2025,May,Q2,Thursday,21,-2.730763993785934,106.71612877468675,-69.73975758654342,Down,3001.163464355469,,3001.0418973087053,3001.163464355469,3179.407050040719,2822.919878670219,55.59043903150075,55.79817580102463,62.247101154852906,-6.44892535382828,2772942.9
2025-05-23,2995.9305881133573,3006.6445605098133,2960.4158658153005,2988.688720703125,1828093,0.0,0.0,2025,May,Q2,Friday,21,0.21288241064914004,106.94330864217375,-7.241867410232317,Down,3006.684118652344,,2999.8654042986504,3006.684118652344,3175.4915974844007,2837.876639820287,49.37053719018448,48.05220241891675,59.408121407665675,-11.355918988748925,2739922.75
2025-05-26,3013.787018886935,3076.284906375374,3003.5690618585927,3055.650634765625,2164190,0.0,0.0,2025,May,Q2,Monday,22,2.2405114858112807,109.33938575560825,41.86361587868987,Up,3017.398046875,,3005.178283390743,3017.398046875,3168.275979086873,2866.520114663127,50.819908727270736,46.77750755850275,56.88199863783309,-10.104491079330344,2733166.75
2025-05-27,3055.6506678516926,3060.4124601508584,2990.573647079151,3015.57275390625,2599143,0.0,0.0,2025,May,Q2,Tuesday,22,-1.3115989244120163,107.90529154807898,-40.07791394544256,Down,3022.8145263671877,,3006.1682329636487,3022.8145263671877,3164.542347816553,2881.0867049178223,44.3472114155505,42.04864208582376,53.91532732743123,-11.86668524160747,2769890.3
