,3201.1
,-1.42
,3839.9
,2756
,1266862
,3843544246587
,
Date,Close
4/22/2025 15:30:00,2817.1
4/23/2025 15:30:00,2917.8
4/24/2025 15:30:00,2901.4
4/25/2025 15:30:00,2864.2
4/28/2025 15:30:00,2930.6
4/29/2025 15:30:00,2909.6
4/30/2025 15:30:00,2928.8
5/2/2025 15:30:00,2917.2
5/5/2025 15:30:00,3021.5
5/6/2025 15:30:00,3068.4
5/7/2025 15:30:00,3119.9
5/8/2025 15:30:00,3033.1
5/9/2025 15:30:00,2982.1
5/12/2025 15:30:00,3104.7
5/13/2025 15:30:00,3053.8
5/14/2025 15:30:00,3101.8
5/15/2025 15:30:00,3144.3
5/16/2025 15:30:00,3135.6
5/19/2025 15:30:00,3128
5/20/2025 15:30:00,3063.5
5/21/2025 15:30:00,3090.7
5/22/2025 15:30:00,3006.3
5/23/2025 15:30:00,3012.7
5/26/2025 15:30:00,3080.2
5/27/2025 15:30:00,3039.8
5/28/2025 15:30:00,2997.8
5/29/2025 15:30:00,3009
5/30/2025 15:30:00,2976.8
6/2/2025 15:30:00,3025.9
6/3/2025 15:30:00,3046.5
6/4/2025 15:30:00,3053.4
6/5/2025 15:30:00,3041.6
6/6/2025 15:30:00,3106.5
6/9/2025 15:30:00,3087.4
6/10/2025 15:30:00,3067.5
6/11/2025 15:30:00,3080.7
6/12/2025 15:30:00,3019.2
6/13/2025 15:30:00,3006
6/16/2025 15:30:00,3023.6
6/17/2025 15:30:00,3007.2
6/18/2025 15:30:00,3041.1
6/19/2025 15:30:00,3094.8
6/20/2025 15:30:00,3184.4
6/23/2025 15:30:00,3135
6/24/2025 15:30:00,3150.1
6/25/2025 15:30:00,3215.5
6/26/2025 15:30:00,3215.8
6/27/2025 15:30:00,3203.3
6/30/2025 15:30:00,3183.2
7/1/2025 15:30:00,3176.1
7/2/2025 15:30:00,3165.2
7/3/2025 15:30:00,3174.4
7/4/2025 15:30:00,3162.5
7/7/2025 15:30:00,3160.2
7/8/2025 15:30:00,3157.9
7/9/2025 15:30:00,3176.3
7/10/2025 15:30:00,3162.4
7/11/2025 15:30:00,3073.2
7/14/2025 15:30:00,3092.1
7/15/2025 15:30:00,3128.6
7/16/2025 15:30:00,3196.5
7/17/2025 15:30:00,3195
7/18/2025 15:30:00,3192.4
7/21/2025 15:30:00,3246.7
7/22/2025 15:30:00,3257.2
7/23/2025 15:30:00,3268.8
7/24/2025 15:30:00,3260.9
7/25/2025 15:30:00,3246.4
7/28/2025 15:30:00,3209.8
7/29/2025 15:30:00,3199.4
7/30/2025 15:30:00,3208.9
7/31/2025 15:30:00,3203.1
8/1/2025 15:30:00,3159.3
8/4/2025 15:30:00,3200.2
8/5/2025 15:30:00,3212.2
8/6/2025 15:30:00,3227.5
8/7/2025 15:30:00,3211.1
8/8/2025 15:30:00,3144.2
8/11/2025 15:30:00,3186.2
8/12/2025 15:30:00,3236.5
8/13/2025 15:30:00,3282.2
8/14/2025 15:30:00,3265.4
8/18/2025 15:30:00,3383.1
8/19/2025 15:30:00,3354
8/20/2025 15:30:00,3395.6
8/21/2025 15:30:00,3375.1
8/22/2025 15:30:00,3403
8/25/2025 15:30:00,3398.9
8/26/2025 15:30:00,3330.8
8/28/2025 15:30:00,3295.3
8/29/2025 15:30:00,3199.5
9/1/2025 15:30:00,3315.4
9/2/2025 15:30:00,3234.5
9/3/2025 15:30:00,3286
9/4/2025 15:30:00,3481.5
9/5/2025 15:30:00,3561.3
9/9/2025 15:30:00,3696.3
9/10/2025 15:30:00,3604.4
9/11/2025 15:30:00,3595.7
9/12/2025 15:30:00,3589.9
